StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q11,Q10,Q12,Q13,Q14,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,UniqueID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent?,Gender identity,Years as a nurse:,Charge Nurse Trained?,"Are you part of the Nursing Leadership Team (i.e., CNS, NES, Nurse Manager, Nurse Supervisor)?",Level of education:,Statement 1 - Overall the way we receive feedback for medication errors works well.,Statement 2 - I have been informed of what medication safety events have been trending in the last month on my nursing unit from nursing leadership.,Statement 3 - I have received feedback or heard of others receiving feedback from my nursing leadership team for medication safety events in the last month.,Statement 4 - Feedback on medication safety events is important because it helps stop errors from happening in the future.,Statement 5 - I know what a just culture is regarding medication safety events.,Statement 6 - There is a culture of safety on the nursing unit regarding medication errors.,UniqueID
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID12""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""UniqueID""}"
2023-05-03 14:17:12,2023-05-03 14:17:51,Survey Preview,,100,39,True,2023-05-03 14:17:53,R_2Pd41Stzxz0Gv4L,,,,,44.6114,-93.7614,preview,EN,,,,,,,,,,,,,
2023-05-03 14:29:24,2023-05-03 14:29:44,Survey Preview,,100,19,True,2023-05-03 14:29:46,R_3HOKRb8s1cXizxw,,,,,44.6114,-93.7614,preview,EN,,,,,,,,,,,,,
2023-05-03 14:41:28,2023-05-03 14:41:40,Survey Preview,,100,12,True,2023-05-03 14:41:42,R_xGdA5QhwB3vXR2V,,,,,44.6114,-93.7614,preview,EN,,,,,,,,,,,,,
2023-05-03 15:00:42,2023-05-03 15:01:17,Survey Preview,,100,35,True,2023-05-03 15:01:19,R_2fwbUgXt8WT9VAa,,,,,44.6114,-93.7614,preview,EN,"Yes, I consent",,,,,,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,
2023-05-03 15:01:27,2023-05-03 15:01:41,Survey Preview,,100,13,True,2023-05-03 15:01:43,R_2uTB67S75dzeegT,,,,,44.6114,-93.7614,preview,EN,"No, I do not consent",,,,,,,,,,,,
2023-05-03 15:10:02,2023-05-03 15:10:11,Survey Preview,,100,9,True,2023-05-03 15:10:14,R_1OVMe5o8PvxxOCh,,,,,44.6114,-93.7614,preview,EN,,,,,,,,,,,,,
2023-05-03 15:15:01,2023-05-03 15:17:50,Survey Preview,,100,169,True,2023-05-03 15:17:53,R_3gT77K2UYNhdsEZ,,,,,44.6114,-93.7614,preview,EN,"No, I do not consent",,,,,,,,,,,,
2023-05-03 15:18:36,2023-05-03 15:23:19,Survey Preview,,100,282,True,2023-05-03 15:23:22,R_1ihqHQ9kWpc6zQ2,,,,,44.6114,-93.7614,preview,EN,"Yes, I consent",,,,,,,,,,,,
